method,model_name,task_name,train_subset_size,seed,accuracy,majority_baseline,collapsed,trainable_parameters,peft_parameters,classifier_parameters,ia3_mode,elapsed_seconds,learning_rate,batch_size,max_length,warmup_ratio,max_grad_norm,bf16,num_train_epochs,seed_semantics
ia3,bert-base-uncased,qnli,80,31,0.5892366831411312,0.5053999633900788,False,29186,27648,1538,peft_native,2.5,0.0002,16,128,0.1,1.0,True,10,controls data_subsample + model_init + adapter_init + classifier_init + dataloader_shuffle
ia3,bert-base-uncased,qnli,80,37,0.5689181768259198,0.5053999633900788,False,29186,27648,1538,peft_native,2.6,0.0002,16,128,0.1,1.0,True,10,controls data_subsample + model_init + adapter_init + classifier_init + dataloader_shuffle
ia3,bert-base-uncased,qnli,80,41,0.5357861980596742,0.5053999633900788,False,29186,27648,1538,peft_native,2.7,0.0002,16,128,0.1,1.0,True,10,controls data_subsample + model_init + adapter_init + classifier_init + dataloader_shuffle
ia3,bert-base-uncased,qnli,320,31,0.6317041918359876,0.5053999633900788,False,29186,27648,1538,peft_native,5.4,0.0002,16,128,0.1,1.0,True,10,controls data_subsample + model_init + adapter_init + classifier_init + dataloader_shuffle
ia3,bert-base-uncased,qnli,320,37,0.6198059674171701,0.5053999633900788,False,29186,27648,1538,peft_native,5.9,0.0002,16,128,0.1,1.0,True,10,controls data_subsample + model_init + adapter_init + classifier_init + dataloader_shuffle
ia3,bert-base-uncased,qnli,320,41,0.5791689547867472,0.5053999633900788,False,29186,27648,1538,peft_native,6.1,0.0002,16,128,0.1,1.0,True,10,controls data_subsample + model_init + adapter_init + classifier_init + dataloader_shuffle
ia3,bert-base-uncased,qnli,1280,31,0.6622734761120264,0.5053999633900788,False,29186,27648,1538,peft_native,15.7,0.0002,16,128,0.1,1.0,True,10,controls data_subsample + model_init + adapter_init + classifier_init + dataloader_shuffle
ia3,bert-base-uncased,qnli,1280,37,0.6575141863444993,0.5053999633900788,False,29186,27648,1538,peft_native,16.3,0.0002,16,128,0.1,1.0,True,10,controls data_subsample + model_init + adapter_init + classifier_init + dataloader_shuffle
ia3,bert-base-uncased,qnli,1280,41,0.6476295075965587,0.5053999633900788,False,29186,27648,1538,peft_native,21.2,0.0002,16,128,0.1,1.0,True,10,controls data_subsample + model_init + adapter_init + classifier_init + dataloader_shuffle
lora,bert-base-uncased,qnli,80,31,0.5960095185795351,0.5053999633900788,False,296450,294912,1538,,2.7,0.0002,16,128,0.1,1.0,True,10,controls data_subsample + model_init + adapter_init + classifier_init + dataloader_shuffle
lora,bert-base-uncased,qnli,80,37,0.6487278052352188,0.5053999633900788,False,296450,294912,1538,,3.0,0.0002,16,128,0.1,1.0,True,10,controls data_subsample + model_init + adapter_init + classifier_init + dataloader_shuffle
lora,bert-base-uncased,qnli,80,41,0.5676368295808164,0.5053999633900788,False,296450,294912,1538,,2.6,0.0002,16,128,0.1,1.0,True,10,controls data_subsample + model_init + adapter_init + classifier_init + dataloader_shuffle
lora,bert-base-uncased,qnli,320,31,0.7085850265421929,0.5053999633900788,False,296450,294912,1538,,5.6,0.0002,16,128,0.1,1.0,True,10,controls data_subsample + model_init + adapter_init + classifier_init + dataloader_shuffle
lora,bert-base-uncased,qnli,320,37,0.7197510525352371,0.5053999633900788,False,296450,294912,1538,,6.1,0.0002,16,128,0.1,1.0,True,10,controls data_subsample + model_init + adapter_init + classifier_init + dataloader_shuffle
